	Bit_1	Bit_2	Bit_3	Bit_4	Bit_5	Bit_6	Bit_7	Bit_8	Bit_9	Bit_10	Bit_11	Bit_12	Bit_13	Bit_14	Bit_15	Bit_16	Bit_17	Bit_18
237 PRP-NI-PRNc-GRN Otp Glut	1675	1985	6265	9821	9690	1763	3243	72598	2626	4240	17188	1568	149400	360	20719	2364	32555	14754
238 NTS Phox2b Glut	1879	1662	7770	8150	8895	2174	4161	72052	3047	4024	16007	1722	134673	423	21266	2126	28830	15210
239 MARN-GRN Pyy Glut	1671	2267	4794	8337	11222	1129	1093	50167	1840	4492	18992	1474	107744	194	22798	2147	30371	18685
240 MDRNv Lhx4 Qrfprl Glut	1568	1538	7996	8839	9318	2028	1570	57948	2184	3655	17619	1378	163450	230	21399	1931	29429	17710
241 NTS Mbnl3 Glut	1381	1627	8899	4936	6190	1794	3649	54390	1551	2329	11300	1224	87472	168	14783	1476	18517	11102
242 PGRNd Dmbx1 Glut	3165	4959	14257	12626	19293	7153	8537	160609	4587	7705	34595	4422	269601	431	44085	4311	60179	30495
243 PGRN-PARN-MDRN Hoxb5 Glut	2525	2488	10107	17739	13988	2373	4490	79366	3491	8264	28547	2332	168157	370	25678	2997	58542	25361
244 MV-SPIV Slc6a2 Glut	2284	2737	6475	14771	13123	1417	4928	102931	3437	7509	24478	1812	183799	261	23402	2654	48098	18572
245 SPVI-SPVC Tlx3 Ebf3 Glut	1407	2063	9285	7620	7188	2927	3585	72935	2750	4350	14373	1707	136914	352	17953	1912	27784	13039
246 CU-ECU-SPVI Foxb1 Glut	2613	2572	9855	14899	9919	2719	2759	97780	4089	8051	21518	1969	168931	337	18174	2449	47988	19137
247 MV-SPIV Phox2b Ebf3 Lbx1 Glut	1352	1739	6800	9155	7973	1525	3082	71675	1864	5153	15304	1617	139600	204	15941	1908	29575	13463
248 MV-SPIV Zic4 Neurod2 Glut	3113	2392	7593	18831	15298	2147	3714	92488	4163	6789	30085	3319	199949	323	26155	3102	62920	22984
249 NTS Aldh1a2 Glut	2797	2360	10277	14295	14128	3217	5483	95391	4626	7031	27037	3486	217764	451	27757	2788	53294	21728
250 CBN Neurod2 Pvalb Glut	2440	1884	6541	23243	14878	1087	3762	114773	3515	8434	30922	2424	165072	320	24318	2996	68592	22891
251 NTS Dbh Glut	2402	2942	12136	17058	31952	3738	2731	99580	7411	7872	46815	2886	181385	661	58557	4872	78711	35459
252 DMX VII Tbx20 Chol	3073	2978	9017	16207	26145	3232	2516	176389	5383	5557	38454	2905	191647	583	48146	6472	64777	32238
253 IO Fgl2 Glut	7390	2580	14541	16693	16842	5773	1805	201282	8416	8691	35704	4876	223486	434	28856	4208	69649	29837
254 VCO Mafa Meis2 Glut	3917	2135	9100	31404	13614	2256	830	90557	4443	10705	34538	2380	116648	434	17453	3293	97498	29541
255 SPVO Mafa Meis2 Glut	2533	3629	9599	17877	8223	5501	1209	196649	2968	8627	23503	2504	176496	303	18034	3656	55273	20167
256 SPVC Mafa Glut	2495	5343	8990	9899	6418	6269	1075	107157	4318	6959	14739	2053	173352	457	12396	2278	35415	14337
257 SPVC Ccdc172 Glut	2980	1408	9452	3100	3373	3448	1313	70735	1989	2947	7752	1319	113138	610	12199	1163	13458	8064
258 SPVC Nmu Glut	1293	3086	8000	4671	4261	4328	1321	71990	2055	4008	9122	1239	119895	748	14008	1245	17760	9593
